施設名,パートナー,所在地,カテゴリ,金額,金額（税抜・万円/年）,状況,住所,GoogleMap,GoogleマップURL,経度,緯度,契約期間（年）,契約期間(詳細）,掲載元URL,備考,,,,,,,,
青森市【青森市文化会館】（愛称：リンクステーションホール青森）,株式会社リンクステーション,青森県,文化交流施設,年額612万円（税抜）,612,契約期間中,青森県青森市堤町1-4-1,地図を見る,https://www.google.co.jp/maps/search/青森県青森市堤町1-4-1,140.7567521,40.8242578,6,6年（2023年4月1日～2029年3月31日),https://www.city.aomori.aomori.jp/sangyo_koyou/jigyosha/1004987/1004988.html,※施設運営管理は、一般財団法人青森市文化観光振興財団,,,,,,,,
青森市【青森市民ホール】（愛称：リンクモア平安閣市民ホール）,株式会社リンクモア,青森県,文化交流施設,年額220万円（税抜）,220,契約期間中,青森県青森市柳川1-2-14,地図を見る,https://www.google.co.jp/maps/search/青森県青森市柳川1-2-14,140.7333032,40.8266066,3.5,3年6ヵ月（2025年4月1日～2028年9月30日）,https://www.city.aomori.aomori.jp/sangyo_koyou/jigyosha/1004987/1004988.html,なし,,,,,,,,
青森市【青森市民美術展示館】（愛称：協同組合タッケン美術展示館）,協同組合タッケン,青森県,文化交流施設,年額200万円（税抜）,200,契約期間中,青森県青森市柳川1-1?5,地図を見る,https://www.google.co.jp/maps/search/青森県青森市柳川1-1?5,140.7346457,40.8287343,3,3年（2024年7月1日～2027年6月30日）,https://www.city.aomori.aomori.jp/sangyo_koyou/jigyosha/1004987/1004988.html,なし,,,,,,,,
青森市【青森市スポーツ会館】（愛称：オカでんアリーナ）,株式会社オカモト,青森県,スポーツ施設,年額200万円（税抜）,200,契約期間中,青森県青森市合浦1-13-1,地図を見る,https://www.google.co.jp/maps/search/青森県青森市合浦1-13-1,140.7740561,40.8285334,3,3年（2024年7年1日～2027年6月30日）,https://www.city.aomori.aomori.jp/sangyo_koyou/jigyosha/1004987/1004989.html,なし,,,,,,,,
青森市【青森市総合体育館】（愛称：カクヒログループスーパーアリーナ）,株式会社角弘,青森県,スポーツ施設,"年額1,000万円（税抜）",1000,契約期間中,青森県青森市大字浦町字橋本335-17,地図を見る,https://www.google.co.jp/maps/search/青森県青森市大字浦町字橋本335-17,140.745969,40.8133481,5,5年（2024年4月1日～2029年3月31日）,https://www.city.aomori.aomori.jp/sangyo_koyou/jigyosha/1004987/1004989.html,なし,,,,,,,,
青森市【青森市屋内グラウンド】（愛称：盛運輸サンドーム）,盛運輸株式会社,青森県,スポーツ施設,300万円（税抜）,300,契約期間中,青森県青森市大字浜田字豊田123-6,地図を見る,https://www.google.co.jp/maps/search/青森県青森市大字浜田字豊田123-6,140.7522743,40.7983149,4,4年（2025年5月1日～2029年4月30日）,https://www.city.aomori.aomori.jp/sangyo_koyou/jigyosha/1004987/1004989.html,なし,,,,,,,,
青森市【青森市スポーツ広場】（愛称：大進建設スポーツ広場）,株式会社大進建設,青森県,スポーツ施設,年額150万円（税抜）,150,契約期間中,青森県青森市大字大矢沢字野田87-4,地図を見る,https://www.google.co.jp/maps/search/青森県青森市大字大矢沢字野田87-4,140.7726281,40.7920532,3,3年（2025年4月1日～2028年3月31日）,https://www.city.aomori.aomori.jp/sangyo_koyou/jigyosha/1004987/1004989.html,なし,,,,,,,,
青森市【青森市営野球場】（愛称：ダイシンベースボールスタジアム）,株式会社大進建設,青森県,スポーツ施設,年額150万円（税抜）,150,契約期間中,青森県青森市合浦2丁目14-53,地図を見る,https://www.google.co.jp/maps/search/青森県青森市合浦2丁目14-53,140.7779699,40.8293845,4,4年（2023年5月8日～2027年5月7日）,https://www.city.aomori.aomori.jp/sangyo_koyou/jigyosha/1004987/1004989.html,なし,,,,,,,,
青森市【モヤヒルズ】（愛称：リンクステーションヒルズ雲谷）,株式会社リンクステーション,青森県,スポーツ施設,年額510万円（税抜）,510,契約期間中,青森県青森市大字雲谷字梨野木63,地図を見る,https://www.google.co.jp/maps/search/青森県青森市大字雲谷字梨野木63,140.7938421,40.7389012,5,5年（2024年10月1日～2029年9月30日）,https://www.city.aomori.aomori.jp/bunka_sports_kankou/kankou/1007595.html,「リンクステーションヒルズ雲谷」のロゴを一般公募し、最優秀賞を採用。,,,,,,,,
八戸市【八戸市公会堂・八戸市公民館】（愛称：SG GROUPホールはちのへ）,東北医療福祉事業協同組合,青森県,文化交流施設,年額700万円（税抜）,700,契約期間中,青森県八戸市内丸1丁目1-1,地図を見る,https://www.google.co.jp/maps/search/青森県八戸市内丸1丁目1-1,141.4889199,40.5139639,5,5年（2024年10月1日～2029年9月30日）,https://www.city.hachinohe.aomori.jp/jigyoshamuke/yuryokokokujigyo/namingrights/20948.html,施設内への商品等展示スペースの設置,,,,,,,,
八戸市【八戸公園こどもの国「子ども交流館」】（愛称：三八五・こども館）,三八五流通株式会社,青森県,教育施設等,"年額454,546円（税抜）",46,契約期間中,青森県八戸市十日市字天摩33-2,地図を見る,https://www.google.co.jp/maps/search/青森県八戸市十日市字天摩33-2,141.5132002,40.4758188,5,5年（2024年4月1日～2029年3月31日）,https://www.city.hachinohe.aomori.jp/jigyoshamuke/yuryokokokujigyo/namingrights/21068.html,なし,,,,,,,,
八戸市【新井田インドアリンク】（愛称：テクノルアイスパーク八戸）,株式会社テクノル,青森県,スポーツ施設,年額100万円（税抜）,100,契約期間中,青森県八戸市新井田西4丁目1-1,地図を見る,https://www.google.co.jp/maps/search/青森県八戸市新井田西4丁目1-1,141.5139583,40.4995361,5,5年（2024年8月1日～2029年7月31日）,https://www.city.hachinohe.aomori.jp/jigyoshamuke/yuryokokokujigyo/namingrights/9754.html,なし,,,,,,,,
八戸市【多賀多目的運動場天然芝球技場】（愛称：プライフーズスタジアム）,プライフーズ株式会社,青森県,スポーツ施設,年額400万円（税抜）,400,契約期間中,青森県八戸市市川町字市川後55-1,地図を見る,https://www.google.co.jp/maps/search/青森県八戸市市川町字市川後55-1,141.4565035,40.5900479,5,5年（2025年1月1日～2029年12月31日）,https://www.city.hachinohe.aomori.jp/jigyoshamuke/yuryokokokujigyo/namingrights/9754.html,なし,,,,,,,,
八戸市【長根屋内スケート場】（愛称：YSアリーナ八戸）,株式会社吉田産業,青森県,スポーツ施設,"年額2,000万円（税抜）",2000,契約期間中,青森県八戸市大字売市字輿遊下3,地図を見る,https://www.google.co.jp/maps/search/青森県八戸市大字売市字輿遊下3,141.4822404,40.5095297,5,5年（2023年10月1日～2028年9月30日）,https://www.city.hachinohe.aomori.jp/jigyoshamuke/yuryokokokujigyo/namingrights/9754.html,スケート国体のメイン会場になるなど氷都・八戸を代表するリンク,,,,,,,,
盛岡市【盛岡南公園球技場】（愛称：いわぎんスタジアム）,株式会社岩手銀行,岩手県,スポーツ施設,年額300万円（税抜）,300,契約期間中,岩手県盛岡市永井8-65,地図を見る,https://www.google.co.jp/maps/search/岩手県盛岡市永井8-65,141.1378541,39.6479474,5,5年（2023年4月1日～2028年3月31日）,https://www.city.morioka.iwate.jp/shisei/zaisei/1010823.html,なし,,,,,,,,
