KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,ëçêîÅAîNóÓÅuïsè⁄Åvä‹Çﬁ,ëçêîÇOÅ`ÇSçŒ,ëçêîÇTÅ`ÇXçŒ,ëçêîÇPÇOÅ`ÇPÇSçŒ,ëçêîÇPÇTÅ`ÇPÇXçŒ,ëçêîÇQÇOÅ`ÇQÇSçŒ,ëçêîÇQÇTÅ`ÇQÇXçŒ,ëçêîÇRÇOÅ`ÇRÇSçŒ,ëçêîÇRÇTÅ`ÇRÇXçŒ,ëçêîÇSÇOÅ`ÇSÇSçŒ,ëçêîÇSÇTÅ`ÇSÇXçŒ,ëçêîÇTÇOÅ`ÇTÇSçŒ,ëçêîÇTÇTÅ`ÇTÇXçŒ,ëçêîÇUÇOÅ`ÇUÇSçŒ,ëçêîÇUÇTÅ`ÇUÇXçŒ,ëçêîÇVÇOÅ`ÇVÇSçŒ,ëçêîÇPÇTçŒñ¢ñû,ëçêîÇPÇTÅ`ÇUÇSçŒ,ëçêîÇUÇTçŒà»è„,ëçêîÇVÇTçŒà»è„,íjÇÃëçêîÅAîNóÓÅuïsè⁄Åvä‹Çﬁ,íjÇOÅ`ÇSçŒ,íjÇTÅ`ÇXçŒ,íjÇPÇOÅ`ÇPÇSçŒ,íjÇPÇTÅ`ÇPÇXçŒ,íjÇQÇOÅ`ÇQÇSçŒ,íjÇQÇTÅ`ÇQÇXçŒ,íjÇRÇOÅ`ÇRÇSçŒ,íjÇRÇTÅ`ÇRÇXçŒ,íjÇSÇOÅ`ÇSÇSçŒ,íjÇSÇTÅ`ÇSÇXçŒ,íjÇTÇOÅ`ÇTÇSçŒ,íjÇTÇTÅ`ÇTÇXçŒ,íjÇUÇOÅ`ÇUÇSçŒ,íjÇUÇTÅ`ÇUÇXçŒ,íjÇVÇOÅ`ÇVÇSçŒ,íjÇPÇTçŒñ¢ñû,íjÇPÇTÅ`ÇUÇSçŒ,íjÇUÇTçŒà»è„,íjÇVÇTçŒà»è„,èóÇÃëçêîÅAîNóÓÅuïsè⁄Åvä‹Çﬁ,èóÇOÅ`ÇSçŒ,èóÇTÅ`ÇXçŒ,èóÇPÇOÅ`ÇPÇSçŒ,èóÇPÇTÅ`ÇPÇXçŒ,èóÇQÇOÅ`ÇQÇSçŒ,èóÇQÇTÅ`ÇQÇXçŒ,èóÇRÇOÅ`ÇRÇSçŒ,èóÇRÇTÅ`ÇRÇXçŒ,èóÇSÇOÅ`ÇSÇSçŒ,èóÇSÇTÅ`ÇSÇXçŒ,èóÇTÇOÅ`ÇTÇSçŒ,èóÇTÇTÅ`ÇTÇXçŒ,èóÇUÇOÅ`ÇUÇSçŒ,èóÇUÇTÅ`ÇUÇXçŒ,èóÇVÇOÅ`ÇVÇSçŒ,èóÇPÇTçŒñ¢ñû,èóÇPÇTÅ`ÇUÇSçŒ,èóÇUÇTçŒà»è„,èóÇVÇTçŒà»è„
42201,1,í∑çËés,,0,,,409118,14020,15975,16776,18038,17146,16392,18590,20860,23532,28218,25845,26759,28155,32863,32971,46771,223535,132604,66770,188519,7203,8203,8569,8960,8278,7878,8967,9948,11170,13379,11969,12443,13203,15446,15144,23975,106195,54621,24031,220599,6817,7772,8207,9078,8868,8514,9623,10912,12362,14839,13876,14316,14952,17417,17827,22796,117340,77983,42739
422010011,3,í∑çËés,ñ{âÕì‡,0,,,2264,49,61,63,75,66,82,72,92,135,142,129,140,156,228,224,173,1089,980,528,1015,21,28,35,39,27,43,35,46,65,65,59,67,78,106,96,84,524,394,192,1249,28,33,28,36,39,39,37,46,70,77,70,73,78,122,128,89,565,586,336
42201001101,4,í∑çËés,ñ{âÕì‡àÍíöñ⁄,0,,,526,20,15,10,12,11,31,17,27,25,31,30,40,34,43,49,45,258,217,125,228,10,9,8,3,3,14,6,13,11,12,16,19,17,18,21,27,114,83,44,298,10,6,2,9,8,17,11,14,14,19,14,21,17,25,28,18,144,134,81
42201001102,4,í∑çËés,ñ{âÕì‡ìÒíöñ⁄,0,,,706,4,13,14,20,27,23,24,21,46,48,34,43,58,79,69,31,344,321,173,322,3,6,7,8,14,16,14,10,23,21,10,22,25,42,32,16,163,138,64,384,1,7,7,12,13,7,10,11,23,27,24,21,33,37,37,15,181,183,109
42201001103,4,í∑çËés,ñ{âÕì‡éOíöñ⁄,1,,001203,1032,25,33,39,43,28,28,31,44,64,63,65,57,64,106,106,97,487,442,230,465,8,13,20,28,10,13,15,23,31,32,33,26,36,46,43,41,247,173,84,567,17,20,19,15,18,15,16,21,33,31,32,31,28,60,63,56,240,269,146
422010012,3,í∑çËés,ñ{âÕì‡,0,,,133,5,5,4,1,4,4,3,7,4,6,5,13,15,10,13,14,62,57,34,66,3,1,2,0,2,2,1,4,4,4,2,3,8,6,6,6,30,30,18,67,2,4,2,1,2,2,2,3,0,2,3,10,7,4,7,8,32,27,16
42201001201,4,í∑çËés,ñ{âÕì‡àÍíöñ⁄,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42201001202,4,í∑çËés,ñ{âÕì‡ìÒíöñ⁄,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42201001203,4,í∑çËés,ñ{âÕì‡éOíöñ⁄,2,1103,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42201001204,4,í∑çËés,ñ{âÕì‡élíöñ⁄,0,,,133,5,5,4,1,4,4,3,7,4,6,5,13,15,10,13,14,62,57,34,66,3,1,2,0,2,2,1,4,4,4,2,3,8,6,6,6,30,30,18,67,2,4,2,1,2,2,2,3,0,2,3,10,7,4,7,8,32,27,16
